Area,Year,ghg_emissions
Albania,1961,17157.9915
Albania,1962,17495.627
Albania,1963,16941.2131
Albania,1964,16995.5552
Albania,1965,18213.0337
Albania,1966,18685.5982
Albania,1967,19213.0872
Albania,1968,19045.825100000002
Albania,1969,18887.946
Albania,1970,19530.6473
Albania,1971,19940.0262
Albania,1972,21114.9006
Albania,1973,21107.017499999998
Albania,1974,20785.734
Albania,1975,21034.614700000002
Albania,1976,22689.895099999998
Albania,1977,24399.3485
Albania,1978,27067.7945
Albania,1979,28858.5216
Albania,1980,26954.5292
Albania,1981,29666.952400000002
Albania,1982,29687.8781
Albania,1983,30416.5792
Albania,1984,30789.846999999998
Albania,1985,30140.8128
Albania,1986,31128.369599999998
Albania,1987,31381.6133
Albania,1988,32399.1652
Albania,1989,34983.9535
Albania,1990,134580.3026
Albania,1991,119414.84760000001
Albania,1992,97799.7178
Albania,1993,99851.7302
Albania,1994,115077.3974
Albania,1995,117293.7705
Albania,1996,110782.4895
Albania,1997,101386.7916
Albania,1998,100902.90849999999
Albania,1999,110178.3444
Albania,2000,123228.9829
Albania,2001,110070.6398
Albania,2002,114319.2113
Albania,2003,116338.972
Albania,2004,115533.5986
Albania,2005,114783.22899999999
Albania,2006,112537.65669999999
Albania,2007,108274.387
Albania,2008,105336.94
Albania,2009,101644.5489
Albania,2010,97418.189
Albania,2011,103550.4613
Albania,2012,101002.5461
Albania,2013,104061.56270000001
Albania,2014,110591.7476
Albania,2015,103366.9699
Albania,2016,108561.345
Albania,2017,112301.5162
Albania,2018,107329.4011
Albania,2019,104360.775
Albania,2020,99530.2258
Albania,2021,96863.834
Albania,2022,95857.9985
Albania,2030,16046.3528
Albania,2050,16054.779900000001
Austria,1961,98544.8542
Austria,1962,102161.1849
Austria,1963,104774.00720000001
Austria,1964,104962.1106
Austria,1965,105022.4355
Austria,1966,106568.8972
Austria,1967,109081.0337
Austria,1968,111915.6766
Austria,1969,113809.7651
Austria,1970,119596.4641
Austria,1971,122601.6379
Austria,1972,125935.6333
Austria,1973,130364.68539999999
Austria,1974,129061.0773
Austria,1975,125058.7644
Austria,1976,129992.3161
Austria,1977,127592.6357
Austria,1978,130103.55059999999
Austria,1979,135487.2217
Austria,1980,125494.1539
Austria,1981,127788.8769
Austria,1982,125843.702
Austria,1983,124908.7108
Austria,1984,129413.86290000001
Austria,1985,130409.9253
Austria,1986,127685.5729
Austria,1987,130397.37849999999
Austria,1988,126280.5173
Austria,1989,124130.9361
Austria,1990,570193.5592
Austria,1991,572792.4588
Austria,1992,547058.6495
Austria,1993,540596.5741
Austria,1994,540406.9554
Austria,1995,547529.8593
Austria,1996,582612.0033
Austria,1997,545179.927
Austria,1998,552653.1923
Austria,1999,525068.4617
Austria,2000,535020.0426
Austria,2001,598867.4649
Austria,2002,630114.4768000001
Austria,2003,698832.7046
Austria,2004,670374.4051
Austria,2005,674328.9311
Austria,2006,684144.7101
Austria,2007,664835.926
Austria,2008,672166.6736
Austria,2009,615593.7156
Austria,2010,649220.7547
Austria,2011,628344.2394
Austria,2012,603354.7997
Austria,2013,609412.6651
Austria,2014,587339.8465
Austria,2015,603296.5921
Austria,2016,607468.8966999999
Austria,2017,621613.735
Austria,2018,600847.6861
Austria,2019,605947.7274
Austria,2020,576726.8326
Austria,2021,570676.5926
Austria,2022,550125.7663
Austria,2030,30686.8821
Austria,2050,28966.8246
Belarus,1992,1425861.4953
Belarus,1993,1331363.129
Belarus,1994,1179985.9001
Belarus,1995,1124791.175
