Area,Year,precip
Albania,1990,1485
Albania,1991,1485
Albania,1992,1485
Albania,1993,1485
Albania,1994,1485
Albania,1995,1485
Albania,1996,1485
Albania,1997,1485
Albania,1998,1485
Albania,1999,1485
Albania,2000,1485
Albania,2001,1485
Albania,2002,1485
Albania,2003,1485
Albania,2004,1485
Albania,2005,1485
Albania,2006,1485
Albania,2007,1485
Albania,2008,1485
Albania,2009,1485
Albania,2010,1485
Albania,2011,1485
Albania,2012,1485
Albania,2013,1485
Albania,2014,1485
Albania,2015,1485
Albania,2016,1485
Albania,2017,1485
Albania,2018,1485
Albania,2019,1485
Albania,2020,1485
Albania,2021,1485
Albania,2022,1485
Austria,1990,1110
Austria,1991,1110
Austria,1992,1110
Austria,1993,1110
Austria,1994,1110
Austria,1995,1110
Austria,1996,1110
Austria,1997,1110
Austria,1998,1110
Austria,1999,1110
Austria,2000,1110
Austria,2001,1110
Austria,2002,1110
Austria,2003,1110
Austria,2004,1110
Austria,2005,1110
Austria,2006,1110
Austria,2007,1110
Austria,2008,1110
Austria,2009,1110
Austria,2010,1110
Austria,2011,1110
Austria,2012,1110
Austria,2013,1110
Austria,2014,1110
Austria,2015,1110
Austria,2016,1110
Austria,2017,1110
Austria,2018,1110
Austria,2019,1110
Austria,2020,1110
Austria,2021,1110
Austria,2022,1110
Belarus,1992,618
Belarus,1993,618
Belarus,1994,618
Belarus,1995,618
Belarus,1996,618
Belarus,1997,618
Belarus,1998,618
Belarus,1999,618
Belarus,2000,618
Belarus,2001,618
Belarus,2002,618
Belarus,2003,618
Belarus,2004,618
Belarus,2005,618
Belarus,2006,618
Belarus,2007,618
Belarus,2008,618
Belarus,2009,618
Belarus,2010,618
Belarus,2011,618
Belarus,2012,618
Belarus,2013,618
Belarus,2014,618
Belarus,2015,618
Belarus,2016,618
Belarus,2017,618
Belarus,2018,618
Belarus,2019,618
Belarus,2020,618
Belarus,2021,618
Belarus,2022,618
Belgium,1990,847
Belgium,1991,847
Belgium,1992,847
Belgium,1993,847
Belgium,1994,847
Belgium,1995,847
Belgium,1996,847
Belgium,1997,847
Belgium,1998,847
Belgium,1999,847
Belgium,2000,847
Belgium,2001,847
Belgium,2002,847
Belgium,2003,847
Belgium,2004,847
Belgium,2005,847
Belgium,2006,847
Belgium,2007,847
Belgium,2008,847
Belgium,2009,847
Belgium,2010,847
Belgium,2011,847
Belgium,2012,847
Belgium,2013,847
Belgium,2014,847
